                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.092263,               0.085109,                0.13793,                      0,                0.35278,                0.58095,                0.38641,                0.13193,                0.36532,                0.56466,                0.40184,                0.15468,               0.070171,               0.055375,                 0.1639,                      0,               0.070227,              0.0033081,              0.0033081
                      1,               0.068409,               0.051649,                0.13938,                      0,                0.45313,                0.59674,                0.47123,                0.20716,                0.46034,                0.59325,                0.46193,                0.21124,               0.063377,               0.051268,                0.15835,                      0,               0.039964,              0.0063784,              0.0063784
                      2,               0.065207,               0.048411,                0.13636,                      0,                0.33435,                0.36525,                0.27914,                0.08427,                0.31772,                 0.3404,                0.25519,               0.085311,               0.072082,               0.069307,                 0.2043,                      0,              0.0094373,              0.0091847,              0.0091847
                      3,               0.058779,               0.044924,                0.13174,                      0,                0.73591,                 0.7537,                0.77878,                0.42965,                0.73781,                 0.7384,                0.75528,                0.42611,               0.044731,               0.041523,                0.13906,                      0,               0.008812,               0.008812,               0.008812
                      4,               0.053014,               0.043151,                0.12936,                      0,                0.80663,                0.75358,                0.81309,                0.44024,                0.80712,                0.75123,                0.80372,                0.44456,               0.044631,               0.039905,                0.13637,                      0,               0.008812,               0.008812,               0.008812
                      5,               0.050189,               0.040845,                0.12678,                      0,                0.87574,                0.78282,                0.86653,                0.54207,                0.87054,                0.77443,                0.85015,                0.50534,               0.037232,               0.037726,                0.13143,                      0,               0.008416,               0.008416,               0.008416
                      6,               0.047228,               0.039971,                0.12648,                      0,                0.86857,                0.76851,                 0.8599,                0.50193,                0.87082,                0.77641,                0.85568,                0.50362,               0.041567,               0.038053,                0.12767,                      0,                0.00802,                0.00802,                0.00802
                      7,               0.046237,                0.03853,                0.11988,                      0,                0.88199,                 0.8153,                0.89551,                0.55853,                0.88272,                0.80988,                0.88388,                0.55888,               0.036479,               0.034543,                0.12018,                      0,               0.007624,               0.007624,               0.007624
                      8,               0.044023,               0.037683,                0.12025,                      0,                0.88889,                0.82034,                0.89423,                0.61775,                0.88622,                0.81787,                0.88778,                0.58633,               0.032591,               0.034311,                 0.1193,                      0,               0.007228,               0.007228,               0.007228
                      9,               0.042999,               0.037148,                0.11832,                      0,                0.87341,                0.82823,                0.89247,                 0.6078,                0.87081,                0.82577,                0.87775,                0.54866,               0.032729,               0.034833,                0.12293,                      0,               0.006832,               0.006832,               0.006832
                     10,               0.041601,               0.036568,                0.11649,                      0,                0.89156,                0.81984,                0.89056,                0.62178,                0.89049,                0.81885,                 0.8806,                0.57667,                 0.0317,               0.033424,                0.11713,                      0,               0.006436,               0.006436,               0.006436
                     11,               0.039979,               0.035603,                0.11458,                      0,                0.90267,                0.82823,                0.90699,                0.63538,                0.90319,                0.82626,                0.89766,                0.59917,               0.031292,               0.032425,                0.11574,                      0,                0.00604,                0.00604,                0.00604
                     12,               0.039874,               0.035639,                0.11382,                      0,                0.90052,                0.84304,                0.91221,                0.65174,                0.89792,                0.84107,                0.90302,                0.60673,               0.029523,               0.032027,                0.11295,                      0,               0.005644,               0.005644,               0.005644
                     13,               0.039318,               0.034543,                0.10958,                      0,                0.89991,                0.82873,                0.90961,                0.65198,                0.89915,                0.82873,                0.89791,                0.59861,               0.029332,               0.032489,                0.11218,                      0,               0.005248,               0.005248,               0.005248
                     14,               0.037614,               0.034124,                0.10843,                      0,                0.90466,                0.84771,                0.91233,                0.65633,                0.90677,                0.84492,                0.90395,                0.60245,               0.029792,               0.031192,                0.11078,                      0,               0.004852,               0.004852,               0.004852
                     15,               0.037485,               0.033922,                  0.109,                      0,                0.90074,                0.84304,                 0.9161,                0.66549,                0.91101,                0.83371,                0.90541,                0.62724,               0.028761,               0.031729,                0.10974,                      0,               0.004456,               0.004456,               0.004456
                     16,               0.036678,               0.033627,                0.10717,                      0,                0.90891,                0.86328,                0.91991,                  0.679,                0.91496,                0.85094,                0.90792,                0.62857,               0.027644,               0.031608,                0.10547,                      0,                0.00406,                0.00406,                0.00406
                     17,               0.035855,               0.033303,                0.10534,                      0,                0.89996,                0.85192,                 0.9175,                0.67697,                0.90017,                0.85004,                0.91021,                0.62954,               0.027743,               0.030553,                0.10766,                      0,               0.003664,               0.003664,               0.003664
                     18,               0.035692,               0.032939,                0.10436,                      0,                 0.8917,                0.86157,                 0.9201,                0.68304,                 0.8881,                0.85786,                 0.9092,                0.63831,               0.027499,               0.030129,                0.10495,                      0,               0.003268,               0.003268,               0.003268
                     19,               0.035138,               0.032578,                0.10326,                      0,                0.91247,                0.85242,                0.92093,                0.68918,                0.90954,                0.84946,                0.91276,                0.62198,               0.026861,               0.030016,                0.10383,                      0,               0.002872,               0.002872,               0.002872
                     20,               0.034364,               0.031878,                0.10301,                      0,                0.91563,                0.86238,                0.92574,                0.70633,                0.91574,                0.85834,                0.91703,                0.64243,               0.026114,               0.029244,                0.10139,                      0,               0.002476,               0.002476,               0.002476
                     21,               0.033728,               0.031898,                0.10072,                      0,                  0.902,                0.86767,                0.92517,                   0.71,                 0.9049,                0.85884,                0.91557,                0.64516,               0.025809,               0.028651,                0.10129,                      0,                0.00208,                0.00208,                0.00208
                     22,               0.033267,               0.031287,                0.09925,                      0,                0.90976,                0.86082,                0.92658,                0.70879,                0.91476,                 0.8528,                0.91603,                0.63739,               0.025737,               0.029375,                0.10042,                      0,               0.001684,               0.001684,               0.001684
                     23,               0.032923,               0.030973,               0.098374,                      0,                0.90305,                0.86673,                0.92606,                0.70966,                0.90492,                0.85538,                0.91415,                0.64556,               0.025855,               0.029617,                0.10235,                      0,               0.001288,               0.001288,               0.001288
                     24,                0.03274,               0.030903,               0.097319,                      0,                0.90818,                0.87388,                0.93068,                0.71607,                0.90934,                0.87216,                0.92179,                0.65418,               0.025185,               0.028709,               0.099139,                      0,               0.000892,               0.000892,               0.000892
                     25,                0.90751,                0.87364,                0.93048,                0.71612,                0.90939,                0.87188,                0.92182,                 0.6542,               0.025185,               0.028701,               0.099143,                      0
